10 81 | 50 81
10 | 7F 10 12
11 | 7F 11 12
1A | 7F 1A 12
1A 80 | 54 5A 80 57 30 4C 30 58 43 46 32 35 37 33 30 32 34 32 35 33 35 35 35 37 34 35 39 30 20 52 52 4D 41 47 20 20 30 31 32 34 36 4F 32 30 34 44 33 34 32 32 43 31 36 37 20 00 01 4D 30 36 30 30 31 5A 31 33 44 54 4A 48 30 30 30 30 30 37 33 33 39 20 10 07 28 24 31
1A 81 | 5A 81 04 90 6F 62 03 91 6B 03 92 6F 03 94 69 03 95 02 03 96 66 03 97 66 03 98 6A 03 99 44 03 9A 02 FF
1A 90 | 5A 90 57 30 4C 30 58 43 46 32 35 37 33 30 32 34 32 35 33
1A 91 | 5A 91 35 35 35 37 34 35 39 30 20 52 52
1A 92 | 5A 92 4D 41 47 20 20 30 31 32 34 36 4F 32 30 34 44
1A 94 | 5A 94 33 34 32 32 43 31 36 37 20
1A 95 | 5A 95 00 01
1A 96 | 5A 96 4D 30 36 30 30 31
1A 97 | 5A 97 5A 31 33 44 54 4A
1A 98 | 5A 98 48 30 30 30 30 30 37 33 33 39
1A 99 | 5A 99 20 10 07 28
1A 9A | 5A 9A 24 31
20 | 60
21 | 7F 21 12
21 80 | 54 61 80 57 30 4C 30 58 43 46 32 35 37 33 30 32 34 32 35 33 35 35 35 37 34 35 39 30 20 52 52 4D 41 47 20 20 30 31 32 34 36 4F 32 30 34 44 33 34 32 32 43 31 36 37 20 00 01 4D 30 36 30 30 31 5A 31 33 44 54 4A 48 30 30 30 30 30 37 33 33 39 20 10 07 28 24 31
21 81 | 61 81 04 90 6F 62 03 91 6B 03 92 6F 03 94 69 03 95 02 03 96 66 03 97 66 03 98 6A 03 99 44 03 9A 02 FF
21 90 | 61 90 57 30 4C 30 58 43 46 32 35 37 33 30 32 34 32 35 33
21 91 | 61 91 35 35 35 37 34 35 39 30 20 52 52
21 92 | 61 92 4D 41 47 20 20 30 31 32 34 36 4F 32 30 34 44
21 94 | 61 94 33 34 32 32 43 31 36 37 20
21 95 | 61 95 00 01
21 96 | 61 96 4D 30 36 30 30 31
21 97 | 61 97 5A 31 33 44 54 4A
21 98 | 61 98 48 30 30 30 30 30 37 33 33 39
21 99 | 61 99 20 10 07 28
21 9A | 61 9A 24 31
27 | 7F 27 12
31 | 7F 31 12
33 | 7F 33 12
33 01 | 7F 33 22
33 02 | 7F 33 23
34 | 7F 34 80
36 | 7F 36 80
37 | 7F 37 80
3B | 7F 3B 12
3E | 7E
83 | 7F 83 12
83 00 | C3 00 00 FE 08 28 00
83 02 | C3 02 32 02 6E 14 0A
10 85 | 50 85
10 | 7F 10 12
11 | 7F 11 12
1A | 7F 1A 12
1A 80 | 54 5A 80 57 30 4C 30 58 43 46 32 35 37 33 30 32 34 32 35 33 35 35 35 37 34 35 39 30 20 52 52 4D 41 47 20 20 30 31 32 34 36 4F 32 30 34 44 33 34 32 32 43 31 36 37 20 00 01 4D 30 36 30 30 31 5A 31 33 44 54 4A 48 30 30 30 30 30 37 33 33 39 20 10 07 28 24 31
1A 81 | 5A 81 04 90 6F 62 03 91 6B 03 92 6F 03 94 69 03 95 02 03 96 66 03 97 66 03 98 6A 03 99 44 03 9A 02 FF
1A 90 | 5A 90 57 30 4C 30 58 43 46 32 35 37 33 30 32 34 32 35 33
1A 91 | 5A 91 35 35 35 37 34 35 39 30 20 52 52
1A 92 | 5A 92 4D 41 47 20 20 30 31 32 34 36 4F 32 30 34 44
1A 94 | 5A 94 33 34 32 32 43 31 36 37 20
1A 95 | 5A 95 00 01
1A 96 | 5A 96 4D 30 36 30 30 31
1A 97 | 5A 97 5A 31 33 44 54 4A
1A 98 | 5A 98 48 30 30 30 30 30 37 33 33 39
1A 99 | 5A 99 20 10 07 28
1A 9A | 5A 9A 24 31
20 | 60
21 | 7F 21 12
21 80 | 54 61 80 57 30 4C 30 58 43 46 32 35 37 33 30 32 34 32 35 33 35 35 35 37 34 35 39 30 20 52 52 4D 41 47 20 20 30 31 32 34 36 4F 32 30 34 44 33 34 32 32 43 31 36 37 20 00 01 4D 30 36 30 30 31 5A 31 33 44 54 4A 48 30 30 30 30 30 37 33 33 39 20 10 07 28 24 31
21 81 | 61 81 04 90 6F 62 03 91 6B 03 92 6F 03 94 69 03 95 02 03 96 66 03 97 66 03 98 6A 03 99 44 03 9A 02 FF
21 90 | 61 90 57 30 4C 30 58 43 46 32 35 37 33 30 32 34 32 35 33
21 91 | 61 91 35 35 35 37 34 35 39 30 20 52 52
21 92 | 61 92 4D 41 47 20 20 30 31 32 34 36 4F 32 30 34 44
21 94 | 61 94 33 34 32 32 43 31 36 37 20
21 95 | 61 95 00 01
21 96 | 61 96 4D 30 36 30 30 31
21 97 | 61 97 5A 31 33 44 54 4A
21 98 | 61 98 48 30 30 30 30 30 37 33 33 39
21 99 | 61 99 20 10 07 28
21 9A | 61 9A 24 31
27 | 7F 27 12
31 | 7F 31 12
33 | 7F 33 12
33 01 | 7F 33 22
33 02 | 7F 33 23
34 | 7F 34 80
36 | 7F 36 80
37 | 7F 37 80
3B | 7F 3B 12
3E | 7E
83 | 7F 83 12
83 00 | C3 00 00 FE 08 28 00
83 02 | C3 02 32 02 6E 14 0A
