10 | 7F 10 22
14 | 7F 14 12
18 | 7F 18 12
18 00 FF 00 | 58 01 E1 05 E4
1A | 7F 1A 12
1A 80 | 7F 1A 787F 1A 787F 1A 785A 80 31 33 31 38 32 33 31 39 20 48 47 01 71 41 42 53 38 2E 30 02 65 80 04 43 33 38 32 34 34 30 38 30 32 30 30 30 30 01
1A 81 | 5A 81 03 91 6B 03 9A 02 03 97 66 03 92 45 03 94 65 03 95 68 03 9D 01 FF
21 | 7F 21 12
21 02 | 61 02 2B 00 2B 00 2B 00 2B 00
21 03 | 61 03 00 91
21 04 | 61 04 00 00 80 00 00
21 2C | 61 2C 00 22 00 20 00 00 00 00 FF
21 BF | 7F 21 7861 BF 00
31 | 7F 31 22
33 | 7F 33 22
33 xx | 7F 33 22
3B | 7F 3B 12
3E | 7E
83 | 7F 83 12
83 00 | C3 00 32 02 0A 14 02
83 02 | C3 02 32 0A 0A 14 00
