10 81 | 7F 10 11
14 | 54
1A | 7F 1A 12
1A 80 | 5A 80 31 33 32 30 35 32 31 30 20 20 20 51 31 54 31 37 37 37 36 37 31 38 41 55 45 50 53 2D 34 33 30 30 01 05
1A 81 | 5A 81 03 91 6B 03 92 68 03 94 65 03 97 68 03 9A 02
1A 91 | 5A 91 31 33 32 30 35 32 31 30 20 20 20
1A 92 | 5A 92 51 31 54 31 37 37 37 36
1A 94 | 5A 94 37 31 38 41 55
1A 97 | 5A 97 45 50 53 2D 34 33 30 30
1A 9A | 5A 9A 01 05
21 | 7F 21 12
21 01 | 61 01 00 00 00 00 00 00 00 00 00 7E 7B 7C 80 00 00 00 80 00 01
21 40 | 61 40 02
23 | 7F 23 31
3B | 7F 3B 12
3E | 7E
